"n","rho","k","method","rej"
"373",8,0.65,5,"pearson",0.265
"374",15,0.65,5,"pearson",0.549666666666667
"375",25,0.65,5,"pearson",0.802
"376",50,0.65,5,"pearson",0.980666666666667
"377",8,0.7,5,"pearson",0.336333333333333
"378",15,0.7,5,"pearson",0.642
"379",25,0.7,5,"pearson",0.880333333333333
"380",50,0.7,5,"pearson",0.995333333333333
"381",8,0.75,5,"pearson",0.375666666666667
"382",15,0.75,5,"pearson",0.721666666666667
"383",25,0.75,5,"pearson",0.935333333333333
"384",50,0.75,5,"pearson",0.999
"385",8,0.8,5,"pearson",0.447666666666667
"386",15,0.8,5,"pearson",0.823
"387",25,0.8,5,"pearson",0.977
"388",50,0.8,5,"pearson",1
"389",8,0.85,5,"pearson",0.544666666666667
"390",15,0.85,5,"pearson",0.912333333333333
"391",25,0.85,5,"pearson",0.992333333333333
"392",50,0.85,5,"pearson",1
"393",8,0.9,5,"pearson",0.639333333333333
"394",15,0.9,5,"pearson",0.967666666666667
"395",25,0.9,5,"pearson",0.999333333333333
"396",50,0.9,5,"pearson",1
"397",8,0.95,5,"pearson",0.802666666666667
"398",15,0.95,5,"pearson",0.997666666666667
"399",25,0.95,5,"pearson",1
"400",50,0.95,5,"pearson",1
"401",8,0,1,"spearman",0.0496666666666667
"402",15,0,1,"spearman",0.0466666666666667
"403",25,0,1,"spearman",0.0446666666666667
"404",50,0,1,"spearman",0.0473333333333333
"405",8,0.05,1,"spearman",0.0443333333333333
"406",15,0.05,1,"spearman",0.0486666666666667
"407",25,0.05,1,"spearman",0.0536666666666667
"408",50,0.05,1,"spearman",0.055
"409",8,0.1,1,"spearman",0.056
"410",15,0.1,1,"spearman",0.07
"411",25,0.1,1,"spearman",0.071
"412",50,0.1,1,"spearman",0.096
"413",8,0.15,1,"spearman",0.06
"414",15,0.15,1,"spearman",0.0776666666666667
"415",25,0.15,1,"spearman",0.0926666666666667
"416",50,0.15,1,"spearman",0.165
"417",8,0.2,1,"spearman",0.0673333333333333
"418",15,0.2,1,"spearman",0.102
"419",25,0.2,1,"spearman",0.147666666666667
"420",50,0.2,1,"spearman",0.252
"421",8,0.25,1,"spearman",0.0783333333333333
"422",15,0.25,1,"spearman",0.131
"423",25,0.25,1,"spearman",0.209
"424",50,0.25,1,"spearman",0.38
"425",8,0.3,1,"spearman",0.0893333333333333
"426",15,0.3,1,"spearman",0.160666666666667
"427",25,0.3,1,"spearman",0.287666666666667
"428",50,0.3,1,"spearman",0.523333333333333
"429",8,0.35,1,"spearman",0.115666666666667
"430",15,0.35,1,"spearman",0.205333333333333
"431",25,0.35,1,"spearman",0.370333333333333
"432",50,0.35,1,"spearman",0.689
"433",8,0.4,1,"spearman",0.122333333333333
"434",15,0.4,1,"spearman",0.257333333333333
"435",25,0.4,1,"spearman",0.472
"436",50,0.4,1,"spearman",0.771666666666667
"437",8,0.45,1,"spearman",0.153
"438",15,0.45,1,"spearman",0.332
"439",25,0.45,1,"spearman",0.591666666666667
"440",50,0.45,1,"spearman",0.893666666666667
"441",8,0.5,1,"spearman",0.189666666666667
"442",15,0.5,1,"spearman",0.433666666666667
"443",25,0.5,1,"spearman",0.68
"444",50,0.5,1,"spearman",0.949666666666667
"445",8,0.55,1,"spearman",0.228666666666667
"446",15,0.55,1,"spearman",0.516666666666667
"447",25,0.55,1,"spearman",0.779
"448",50,0.55,1,"spearman",0.973333333333333
"449",8,0.6,1,"spearman",0.266
"450",15,0.6,1,"spearman",0.614666666666667
"451",25,0.6,1,"spearman",0.862666666666667
"452",50,0.6,1,"spearman",0.992666666666667
"453",8,0.65,1,"spearman",0.338666666666667
"454",15,0.65,1,"spearman",0.702
"455",25,0.65,1,"spearman",0.922666666666667
"456",50,0.65,1,"spearman",0.999666666666667
"457",8,0.7,1,"spearman",0.403333333333333
"458",15,0.7,1,"spearman",0.786333333333333
"459",25,0.7,1,"spearman",0.969666666666667
"460",50,0.7,1,"spearman",0.999666666666667
"461",8,0.75,1,"spearman",0.487666666666667
"462",15,0.75,1,"spearman",0.875333333333333
"463",25,0.75,1,"spearman",0.987
"464",50,0.75,1,"spearman",1
"465",8,0.8,1,"spearman",0.594666666666667
"466",15,0.8,1,"spearman",0.944
"467",25,0.8,1,"spearman",0.998333333333333
"468",50,0.8,1,"spearman",1
"469",8,0.85,1,"spearman",0.707666666666667
"470",15,0.85,1,"spearman",0.977666666666667
"471",25,0.85,1,"spearman",0.999333333333333
"472",50,0.85,1,"spearman",1
"473",8,0.9,1,"spearman",0.836
"474",15,0.9,1,"spearman",0.996
"475",25,0.9,1,"spearman",1
"476",50,0.9,1,"spearman",1
"477",8,0.95,1,"spearman",0.938666666666667
"478",15,0.95,1,"spearman",0.999666666666667
"479",25,0.95,1,"spearman",1
"480",50,0.95,1,"spearman",1
"481",8,0,2,"spearman",0.0466666666666667
"482",15,0,2,"spearman",0.0473333333333333
"483",25,0,2,"spearman",0.0506666666666667
"484",50,0,2,"spearman",0.0466666666666667
"485",8,0.05,2,"spearman",0.0416666666666667
"486",15,0.05,2,"spearman",0.0566666666666667
"487",25,0.05,2,"spearman",0.0476666666666667
"488",50,0.05,2,"spearman",0.061
"489",8,0.1,2,"spearman",0.052
"490",15,0.1,2,"spearman",0.0536666666666667
"491",25,0.1,2,"spearman",0.0696666666666667
"492",50,0.1,2,"spearman",0.0936666666666667
